ExitSpeed,Angle,PitchCall,TaggedHitType,PlayResult,Outcome
71.5902,22.356006,InPlay,FlyBall,Triple,XBH
64.89091,22.462389,InPlay,LineDrive,Out,Out
70.38267,-20.037377,InPlay,GroundBall,Out,Out
47.91056,51.755419,InPlay,Popup,Out,Out
74.53801,15.104475,InPlay,LineDrive,Single,Single
60.68652,14.850677,InPlay,LineDrive,Double,XBH
49.8382,34.431148,InPlay,Popup,Single,Single
57.38115,36.59017,InPlay,FlyBall,Out,Out
59.18895,4.837424,InPlay,LineDrive,Out,Out
43.83546,24.296239,InPlay,LineDrive,Double,XBH
62.27939,20.673877,InPlay,LineDrive,Out,Out
64.28862,-13.620408,InPlay,GroundBall,Double,XBH
56.52076,-11.547865,InPlay,GroundBall,Out,Out
57.19452,29.728202,InPlay,FlyBall,Out,Out
65.8691,15.480746,InPlay,FlyBall,Out,Out
59.18927,27.497637,InPlay,FlyBall,Out,Out
72.86446,37.829158,InPlay,FlyBall,Homerun,Homerun
66.32118,24.035061,InPlay,FlyBall,Out,Out
59.1785,38.204645,InPlay,FlyBall,Out,Out
70.95632,16.460966,InPlay,LineDrive,Double,XBH
53.93695,71.264237,InPlay,Popup,Out,Out
53.88473,27.782005,InPlay,FlyBall,Out,Out
50.64867,-38.350665,InPlay,GroundBall,Out,Out
59.00698,62.869784,InPlay,Popup,Out,Out
63.04337,32.835155,InPlay,FlyBall,Out,Out
36.64606,68.241384,InPlay,FlyBall,Out,Out
45.30202,41.043175,InPlay,FlyBall,Out,Out
75.05274,12.334138,InPlay,LineDrive,Single,Single
54.67397,26.192087,InPlay,FlyBall,Single,Single
65.7454,-8.211283,InPlay,GroundBall,Out,Out
58.1979,30.52852,InPlay,FlyBall,Out,Out
58.51975,22.22877,InPlay,LineDrive,Out,Out
61.06489,44.042411,InPlay,FlyBall,Out,Out
63.27348,37.224576,InPlay,FlyBall,Out,Out
70.64252,31.278623,InPlay,FlyBall,Out,Out
62.68665,33.406984,InPlay,FlyBall,Out,Out
50.01268,33.516641,InPlay,FlyBall,Single,Single
60.86029,30.128545,InPlay,FlyBall,Out,Out
66.07642,33.353043,InPlay,FlyBall,Out,Out
71.49988,32.629212,InPlay,FlyBall,Homerun,Homerun
69.05136,11.193342,InPlay,LineDrive,Single,Single
56.4973,29.261528,InPlay,FlyBall,Out,Out
65.813,27.894099,InPlay,FlyBall,Out,Out
56.87797,16.303092,InPlay,LineDrive,Single,Single
58.89557,-42.630227,InPlay,GroundBall,Out,Out
72.01249,27.440659,InPlay,FlyBall,Triple,XBH
55.72957,46.72605,InPlay,FlyBall,Out,Out
60.06832,-4.971925,InPlay,GroundBall,Single,Single
71.53408,-0.031517,InPlay,GroundBall,Single,Single
60.47325,-11.591162,InPlay,GroundBall,Out,Out
69.7449,13.772549,InPlay,LineDrive,Out,Out
57.059,-28.299962,InPlay,GroundBall,Out,Out
58.92406,-10.152013,InPlay,GroundBall,Out,Out
57.3632,-18.864739,InPlay,GroundBall,Out,Out
58.53232,55.524978,InPlay,Popup,Out,Out
36.61494,-43.159132,InPlay,GroundBall,Out,Out
55.73293,3.504148,InPlay,GroundBall,Double,XBH
58.7028,64.908613,InPlay,Popup,Out,Out
44.52196,40.322997,InPlay,Popup,Out,Out
65.05328,31.83323,InPlay,LineDrive,Double,XBH
64.29592,41.229322,InPlay,FlyBall,Out,Out
51.28716,-36.794173,InPlay,GroundBall,Out,Out
56.90272,34.972405,InPlay,FlyBall,Single,Single
55.15201,-24.040844,InPlay,GroundBall,Out,Out
59.60034,43.176946,InPlay,FlyBall,Out,Out
80.919,-9.282794,InPlay,GroundBall,Single,Single
41.54033,31.784624,InPlay,GroundBall,Out,Out
72.86077,-8.311413,InPlay,GroundBall,Out,Out
72.18857,5.472373,InPlay,LineDrive,Out,Out
65.91789,1.308295,InPlay,GroundBall,Single,Single
